code,term
100721000119109,High grade astrocytoma of brain
100731000119107,Low grade astrocytoma of brain
1010603001,Primary mucoepidermoid carcinoma of nasopharynx
1010607000,Primary lymphoepithelial carcinoma of nasopharynx
1010624006,Primary salivary gland type neoplasm of nasopharynx
1010631005,Primary malignant melanoma of overlapping sites of accessory sinuses
1010633008,Primary papillary adenocarcinoma of nasopharynx
1010656004,Adenoid squamous cell carcinoma of nasopharynx
1010669000,Primary squamous cell carcinoma of superior wall of nasopharynx
1010674008,Basaloid squamous cell carcinoma of nasopharynx
1010675009,Squamous cell carcinoma of posterior wall of nasopharynx
1010677001,Primary squamous cell carcinomas of anterior wall of nasopharynx
1010679003,Primary squamous cell carcinoma of lateral wall of nasopharynx
1010681001,Primary squamous cell carcinoma of overlapping sites of nasopharynx
10181000119102,Chronic pain due to malignancy
1025781000000106,Recurrent squamous cell carcinoma
1025791000000108,History of malignant neoplasm of vulva
1025801000000107,H/O: malignant neoplasm of vulva 
1025831000000101,History of malignant neoplasm of cervix
1025841000000105,H/O: malignant neoplasm of cervix 
1025871000000104,History of malignant neoplasm of uterine body
1025881000000102,H/O: malignant neoplasm of uterine body 
1025891000000100,History of malignant neoplasm of ovary
1025901000000104,H/O: malignant neoplasm of ovary 
104981000119104,Oligodendroglioma of cerebrum
105041000119109,Metastatic squamous cell carcinoma to lung
105051000119106,Metastatic undifferentiated large cell carcinoma to lung
105111000119109,Primary squamous cell carcinoma of thymus
1051141000000100,Hereditary nonpolyposis colon cancer
105121000119102,Squamous cell carcinoma of vagina
1054001000000101,Invasive carcinoma of uterine cervix co-occurrent with human immunodeficiency virus infection
106821000119101,History of oligodendroglioma of brain
10708511000119108,Primary malignant neoplasm of uterus
10745291000119103,Malignant neoplastic disease in mother complicating childbirth
10749871000119100,Malignant neoplastic disease in pregnancy
107581000119103,Astrocytoma of brain stem
107591000119100,Primary squamous cell carcinoma of urethra
107601000119107,Primary transitional cell carcinoma of urethra
107691000119101,Non-seminomatous germ cell neoplasm of testis
107751000119102,Primary malignant mixed Mullerian neoplasm of endometrium
107771000119106,Primary malignant clear cell neoplasm of endometrium
107781000119109,Primary papillary serous cystadenocarcinoma of endometrium
107791000119107,Primary adenosquamous carcinoma of endometrium
107831000119101,Metastatic squamous cell carcinoma to liver
1078881000119102,Primary adenocarcinoma of lower lobe of left lung
1078901000119100,Primary adenocarcinoma of upper lobe of left lung
1078931000119107,Primary adenocarcinoma of lower lobe of right lung
1078961000119104,Primary adenocarcinoma of upper lobe of right lung
1080091000119100,Infiltrating ductal carcinoma of axillary tail of left female breast
1080111000119108,Infiltrating ductal carcinoma of central portion of left female breast
1080121000119101,Infiltrating ductal carcinoma of lower inner quadrant of left female breast
1080131000119103,Infiltrating ductal carcinoma of lower outer quadrant of left female breast
1080151000119109,Infiltrating ductal carcinoma of upper inner quadrant of left female breast
1080161000119106,Infiltrating ductal carcinoma of upper outer quadrant of left female breast
1080171000119100,Infiltrating ductal carcinoma of axillary tail of right female breast
1080191000119104,Infiltrating ductal carcinoma of central portion of right female breast
1080201000119101,Infiltrating ductal carcinoma of lower inner quadrant of right female breast
